Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	AlphaFoldDB	Taxonomic lineage	Organism (ID)
A0A8J4NI75	unreviewed	A0A8J4NI75_EUDMI	Golgi pH regulator	GPR89 FQV19_0007963	Eudyptula minor (Little blue penguin) (Aptenodytes minor)	279		cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Sauropsida (clade), Sauria (clade), Archelosauria (clade), Archosauria (clade), Dinosauria (clade), Saurischia (clade), Theropoda (clade), Coelurosauria (clade), Aves (class), Neognathae (infraclass), Sphenisciformes (order), Spheniscidae (family), Eudyptula (genus)	37083
A0A8J4PWS4	unreviewed	A0A8J4PWS4_9MYCE	Abscisic acid G-protein coupled receptor-like domain-containing protein	CYY_003478	Polysphondylium violaceum	310		cellular organisms (no rank), Eukaryota (superkingdom), Amoebozoa (clade), Evosea (phylum), Eumycetozoa (class), Dictyostelia (clade), Dictyosteliales (order), Dictyosteliaceae (family), Polysphondylium (genus)	133409
A0A8J4U433	unreviewed	A0A8J4U433_CLAMG	Golgi pH regulator	gpr89 DAT39_006442	Clarias magur (Asian catfish) (Macropteronotus magur)	441		cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Actinopterygii (superclass), Actinopteri (class), Neopterygii (subclass), Teleostei (infraclass), Osteoglossocephalai (clade), Clupeocephala (no rank), Otomorpha (cohort), Ostariophysi (subcohort), Otophysi (clade), Characiphysae (superorder), Siluriformes (order), Siluroidei (suborder), Clariidae (family), Clarias (genus)	1594786
A0A8J4W157	unreviewed	A0A8J4W157_9ROSI	GPCR-type G protein 1	CMV_006201	Castanea mollissima (Chinese chestnut)	435		cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), rosids (clade), fabids (clade), Fagales (order), Fagaceae (family), Castanea (genus)	60419
A0A8J4WNI5	unreviewed	A0A8J4WNI5_9TREM	G protein coupled receptor	PHET_09663	Paragonimus heterotremus	458		cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Spiralia (clade), Lophotrochozoa (clade), Platyhelminthes (phylum), Trematoda (class), Digenea (subclass), Plagiorchiida (order), Troglotremata (suborder), Troglotrematidae (family), Paragonimus (genus)	100268
A0A8J4Y264	unreviewed	A0A8J4Y264_CHIOP	Golgi pH regulator	gpr89 GWK47_010942	Chionoecetes opilio (Atlantic snow crab) (Cancer opilio)	470		cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Panarthropoda (clade), Arthropoda (phylum), Mandibulata (clade), Pancrustacea (clade), Crustacea (subphylum), Multicrustacea (superclass), Malacostraca (class), Eumalacostraca (subclass), Eucarida (superorder), Decapoda (order), Pleocyemata (suborder), Brachyura (infraorder), Eubrachyura (no rank), Heterotremata (no rank), Majoidea (superfamily), Majidae (family), Chionoecetes (genus)	41210
A0A8J5G1X5	unreviewed	A0A8J5G1X5_ZINOF	GPCR-type G protein 1	ZIOFF_051205	Zingiber officinale (Ginger) (Amomum zingiber)	469		cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), Liliopsida (clade), Petrosaviidae (subclass), commelinids (clade), Zingiberales (order), Zingiberaceae (family), Zingiber (genus)	94328
A0A8J5R1Q6	unreviewed	A0A8J5R1Q6_ZIZPA	GPCR-type G protein 1	GUJ93_ZPchr0458g22616	Zizania palustris (Northern wild rice)	540		cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), Liliopsida (clade), Petrosaviidae (subclass), commelinids (clade), Poales (order), Poaceae (family), BOP clade (clade), Oryzoideae (subfamily), Oryzeae (tribe), Zizaniinae (subtribe), Zizania (genus)	103762
A0A8J5VCI1	unreviewed	A0A8J5VCI1_9HYME	Golgi pH regulator	G9C98_000039	Cotesia typhae	295		cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Panarthropoda (clade), Arthropoda (phylum), Mandibulata (clade), Pancrustacea (clade), Hexapoda (subphylum), Insecta (class), Dicondylia (clade), Pterygota (subclass), Neoptera (infraclass), Endopterygota (cohort), Hymenoptera (order), Apocrita (suborder), Ichneumonoidea (superfamily), Braconidae (family), Microgastrinae (subfamily), Cotesia (genus)	2053667
A0A8J5X0I3	unreviewed	A0A8J5X0I3_ZIZPA	GPCR-type G protein 1	GUJ93_ZPchr0169g29012	Zizania palustris (Northern wild rice)	339		cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), Liliopsida (clade), Petrosaviidae (subclass), commelinids (clade), Poales (order), Poaceae (family), BOP clade (clade), Oryzoideae (subfamily), Oryzeae (tribe), Zizaniinae (subtribe), Zizania (genus)	103762
A0A8J5X2P2	unreviewed	A0A8J5X2P2_ZIZPA	GPCR-type G protein 1	GUJ93_ZPchr0169g29012	Zizania palustris (Northern wild rice)	468		cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), Liliopsida (clade), Petrosaviidae (subclass), commelinids (clade), Poales (order), Poaceae (family), BOP clade (clade), Oryzoideae (subfamily), Oryzeae (tribe), Zizaniinae (subtribe), Zizania (genus)	103762
A0A8J5XU35	unreviewed	A0A8J5XU35_DIALT	Abscisic acid G-protein coupled receptor-like domain-containing protein	KFE25_007509	Diacronema lutheri (Unicellular marine alga) (Monochrysis lutheri)	765		cellular organisms (no rank), Eukaryota (superkingdom), Haptista (clade), Haptophyta (phylum), Pavlovales (order), Pavlovaceae (family), Diacronema (genus)	2081491
A0A8J6DPW3	unreviewed	A0A8J6DPW3_GALPY	Golgi pH regulator	J0S82_015653	Galemys pyrenaicus (Iberian desman) (Pyrenean desman)	510		cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Mammalia (class), Theria (clade), Eutheria (clade), Boreoeutheria (clade), Laurasiatheria (superorder), Eulipotyphla (order), Talpidae (family), Galemys (genus)	202257
A0A8J6EL70	unreviewed	A0A8J6EL70_ELECQ	Golgi pH regulator	GDO78_014735	Eleutherodactylus coqui (Puerto Rican coqui)	442		cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amphibia (class), Batrachia (superorder), Anura (order), Neobatrachia (suborder), Hyloidea (superfamily), Eleutherodactylidae (family), Eleutherodactylinae (subfamily), Eleutherodactylus (genus), Eleutherodactylus (subgenus)	57060
A0A8J6EM33	unreviewed	A0A8J6EM33_ELECQ	Golgi pH regulator	GDO78_014735	Eleutherodactylus coqui (Puerto Rican coqui)	455		cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amphibia (class), Batrachia (superorder), Anura (order), Neobatrachia (suborder), Hyloidea (superfamily), Eleutherodactylidae (family), Eleutherodactylinae (subfamily), Eleutherodactylus (genus), Eleutherodactylus (subgenus)	57060
A0A8J6GHI9	unreviewed	A0A8J6GHI9_MICOH	Golgi pH regulator	LTLLF_154885	Microtus ochrogaster (Prairie vole)	424		cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Mammalia (class), Theria (clade), Eutheria (clade), Boreoeutheria (clade), Euarchontoglires (superorder), Glires (clade), Rodentia (order), Myomorpha (suborder), Muroidea (clade), Cricetidae (family), Arvicolinae (subfamily), Microtus (genus)	79684
A0A8J6JTH1	unreviewed	A0A8J6JTH1_ELECQ	Golgi pH regulator	GDO78_014735	Eleutherodactylus coqui (Puerto Rican coqui)	338		cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amphibia (class), Batrachia (superorder), Anura (order), Neobatrachia (suborder), Hyloidea (superfamily), Eleutherodactylidae (family), Eleutherodactylinae (subfamily), Eleutherodactylus (genus), Eleutherodactylus (subgenus)	57060
A0A8J6K160	unreviewed	A0A8J6K160_ELECQ	Golgi pH regulator	GDO78_014735	Eleutherodactylus coqui (Puerto Rican coqui)	335		cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amphibia (class), Batrachia (superorder), Anura (order), Neobatrachia (suborder), Hyloidea (superfamily), Eleutherodactylidae (family), Eleutherodactylinae (subfamily), Eleutherodactylus (genus), Eleutherodactylus (subgenus)	57060
A0A8J8NU02	unreviewed	A0A8J8NU02_HALGN	Abscisic acid G-protein coupled receptor-like domain-containing protein	FGO68_gene12509	Halteria grandinella	528		cellular organisms (no rank), Eukaryota (superkingdom), Sar (clade), Alveolata (clade), Ciliophora (phylum), Intramacronucleata (subphylum), Spirotrichea (class), Stichotrichia (subclass), Sporadotrichida (order), Halteriidae (family), Halteria (genus)	5974
A0A8J9V1U3	unreviewed	A0A8J9V1U3_9NEOP	Golgi pH regulator	BINO364_LOCUS4948	Brenthis ino (lesser marbled fritillary)	462		cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Panarthropoda (clade), Arthropoda (phylum), Mandibulata (clade), Pancrustacea (clade), Hexapoda (subphylum), Insecta (class), Dicondylia (clade), Pterygota (subclass), Neoptera (infraclass), Endopterygota (cohort), Amphiesmenoptera (superorder), Lepidoptera (order), Glossata (suborder), Neolepidoptera (infraorder), Heteroneura (parvorder), Ditrysia (clade), Obtectomera (clade), Papilionoidea (superfamily), Nymphalidae (family), Heliconiinae (subfamily), Argynnini (tribe), Brenthis (genus)	405034
A0A8J9VZ26	unreviewed	A0A8J9VZ26_BRALA	GPR89B protein	GPR89B BLAG_LOCUS1287	Branchiostoma lanceolatum (Common lancelet) (Amphioxus lanceolatum)	409		cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Cephalochordata (subphylum), Leptocardii (class), Amphioxiformes (order), Branchiostomatidae (family), Branchiostoma (genus)	7740
A0A8J9WD20	unreviewed	A0A8J9WD20_BRALA	GPR89B protein	GPR89B BLAG_LOCUS1287	Branchiostoma lanceolatum (Common lancelet) (Amphioxus lanceolatum)	462		cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Cephalochordata (subphylum), Leptocardii (class), Amphioxiformes (order), Branchiostomatidae (family), Branchiostoma (genus)	7740
A0A8K0DHG4	unreviewed	A0A8K0DHG4_IGNLU	Golgi pH regulator	ILUMI_01866	Ignelater luminosus (Cucubano) (Pyrophorus luminosus)	455		cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Panarthropoda (clade), Arthropoda (phylum), Mandibulata (clade), Pancrustacea (clade), Hexapoda (subphylum), Insecta (class), Dicondylia (clade), Pterygota (subclass), Neoptera (infraclass), Endopterygota (cohort), Coleoptera (order), Polyphaga (suborder), Elateriformia (infraorder), Elateroidea (superfamily), Elateridae (family), Agrypninae (subfamily), Pyrophorini (tribe), Ignelater (genus)	2038154
A0A8K0DWT0	unreviewed	A0A8K0DWT0_9ROSA	GPCR-type G protein 1	FNV43_RR23739	Rhamnella rubrinervis	468		cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), rosids (clade), fabids (clade), Rosales (order), Rhamnaceae (family), rhamnoid group (clade), Rhamneae (tribe), Rhamnella (genus)	2594499
A0A8K0FNA0	unreviewed	A0A8K0FNA0_9AVES	Golgi pH regulator	GPR89 FQV13_0007370	Eudyptes filholi (Southern rockhopper penguin)	279		cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Sauropsida (clade), Sauria (clade), Archelosauria (clade), Archosauria (clade), Dinosauria (clade), Saurischia (clade), Theropoda (clade), Coelurosauria (clade), Aves (class), Neognathae (infraclass), Sphenisciformes (order), Spheniscidae (family), Eudyptes (genus)	1419345
A0A8K0JHV9	unreviewed	A0A8K0JHV9_9TREE	Abscisic acid G-protein coupled receptor-domain-containing protein	FFLO_04952	Filobasidium floriforme	735		cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Agaricomycotina (subphylum), Tremellomycetes (class), Filobasidiales (order), Filobasidiaceae (family), Filobasidium (genus)	5210
A0A8K1DZR6	unreviewed	A0A8K1DZR6_PENIN	G coupled receptor 89 protein	GPCR89	Penaeus indicus (Indian white prawn) (Fenneropenaeus indicus)	466		cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Panarthropoda (clade), Arthropoda (phylum), Mandibulata (clade), Pancrustacea (clade), Crustacea (subphylum), Multicrustacea (superclass), Malacostraca (class), Eumalacostraca (subclass), Eucarida (superorder), Decapoda (order), Dendrobranchiata (suborder), Penaeoidea (superfamily), Penaeidae (family), Penaeus (genus)	29960
A0A8K1LR72	unreviewed	A0A8K1LR72_9PASS	GPHR regulator	HGM15179_003746	Zosterops borbonicus	455		cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Sauropsida (clade), Sauria (clade), Archelosauria (clade), Archosauria (clade), Dinosauria (clade), Saurischia (clade), Theropoda (clade), Coelurosauria (clade), Aves (class), Neognathae (infraclass), Passeriformes (order), Sylvioidea (superfamily), Zosteropidae (family), Zosterops (genus)	364589
A0A8K9URR2	unreviewed	A0A8K9URR2_ONCMY	Golgi pH regulator		Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	401		cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Actinopterygii (superclass), Actinopteri (class), Neopterygii (subclass), Teleostei (infraclass), Osteoglossocephalai (clade), Clupeocephala (no rank), Euteleosteomorpha (cohort), Protacanthopterygii (clade), Salmoniformes (order), Salmonidae (family), Salmoninae (subfamily), Oncorhynchus (genus)	8022
A0A8K9V076	unreviewed	A0A8K9V076_ONCMY	Golgi pH regulator conserved domain-containing protein		Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	471		cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Actinopterygii (superclass), Actinopteri (class), Neopterygii (subclass), Teleostei (infraclass), Osteoglossocephalai (clade), Clupeocephala (no rank), Euteleosteomorpha (cohort), Protacanthopterygii (clade), Salmoniformes (order), Salmonidae (family), Salmoninae (subfamily), Oncorhynchus (genus)	8022
A0A8L7TFH0	unreviewed	A0A8L7TFH0_BRUMA	CG8090-PA, putative		Brugia malayi (Filarial nematode worm)	459		cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Nematoda (phylum), Chromadorea (class), Rhabditida (order), Spirurina (suborder), Spiruromorpha (infraorder), Filarioidea (superfamily), Onchocercidae (family), Brugia (genus)	6279
A0A8P0TLT1	unreviewed	A0A8P0TLT1_CANLF	Golgi pH regulator	GPR89A	Canis lupus familiaris (Dog) (Canis familiaris)	461		cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Mammalia (class), Theria (clade), Eutheria (clade), Boreoeutheria (clade), Laurasiatheria (superorder), Carnivora (order), Caniformia (suborder), Canidae (family), Canis (genus), Canis lupus (species)	9615
A0A8P4G812	unreviewed	A0A8P4G812_DICLA	Golgi pH regulator		Dicentrarchus labrax (European seabass) (Morone labrax)	435		cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Actinopterygii (superclass), Actinopteri (class), Neopterygii (subclass), Teleostei (infraclass), Osteoglossocephalai (clade), Clupeocephala (no rank), Euteleosteomorpha (cohort), Neoteleostei (clade), Eurypterygia (clade), Ctenosquamata (clade), Acanthomorphata (clade), Euacanthomorphacea (clade), Percomorphaceae (clade), Eupercaria (clade), Eupercaria incertae sedis (no rank), Moronidae (family), Dicentrarchus (genus)	13489
A0A8P4GHL8	unreviewed	A0A8P4GHL8_DICLA	Golgi pH regulator		Dicentrarchus labrax (European seabass) (Morone labrax)	416		cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Actinopterygii (superclass), Actinopteri (class), Neopterygii (subclass), Teleostei (infraclass), Osteoglossocephalai (clade), Clupeocephala (no rank), Euteleosteomorpha (cohort), Neoteleostei (clade), Eurypterygia (clade), Ctenosquamata (clade), Acanthomorphata (clade), Euacanthomorphacea (clade), Percomorphaceae (clade), Eupercaria (clade), Eupercaria incertae sedis (no rank), Moronidae (family), Dicentrarchus (genus)	13489
A0A8R1I5S6	unreviewed	A0A8R1I5S6_CAEJA	Golgi pH regulator		Caenorhabditis japonica	465		cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Nematoda (phylum), Chromadorea (class), Rhabditida (order), Rhabditina (suborder), Rhabditomorpha (infraorder), Rhabditoidea (superfamily), Rhabditidae (family), Peloderinae (subfamily), Caenorhabditis (genus)	281687
A0A8R1W6G1	unreviewed	A0A8R1W6G1_ACYPI	Golgi pH regulator	100164939	Acyrthosiphon pisum (Pea aphid)	454		cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Panarthropoda (clade), Arthropoda (phylum), Mandibulata (clade), Pancrustacea (clade), Hexapoda (subphylum), Insecta (class), Dicondylia (clade), Pterygota (subclass), Neoptera (infraclass), Paraneoptera (cohort), Hemiptera (order), Sternorrhyncha (suborder), Aphidomorpha (infraorder), Aphidoidea (superfamily), Aphididae (family), Aphidinae (subfamily), Macrosiphini (tribe), Acyrthosiphon (genus)	7029
A0A8R2AGY0	unreviewed	A0A8R2AGY0_BOMMO	Golgi pH regulator		Bombyx mori (Silk moth)	463		cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Panarthropoda (clade), Arthropoda (phylum), Mandibulata (clade), Pancrustacea (clade), Hexapoda (subphylum), Insecta (class), Dicondylia (clade), Pterygota (subclass), Neoptera (infraclass), Endopterygota (cohort), Amphiesmenoptera (superorder), Lepidoptera (order), Glossata (suborder), Neolepidoptera (infraorder), Heteroneura (parvorder), Ditrysia (clade), Obtectomera (clade), Bombycoidea (superfamily), Bombycidae (family), Bombycinae (subfamily), Bombyx (genus)	7091
A0A8S1B952	unreviewed	A0A8S1B952_ARCPL	Golgi pH regulator	APLA_LOCUS10943 APLA_LOCUS15131	Arctia plantaginis (Wood tiger moth) (Phalaena plantaginis)	463		cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Panarthropoda (clade), Arthropoda (phylum), Mandibulata (clade), Pancrustacea (clade), Hexapoda (subphylum), Insecta (class), Dicondylia (clade), Pterygota (subclass), Neoptera (infraclass), Endopterygota (cohort), Amphiesmenoptera (superorder), Lepidoptera (order), Glossata (suborder), Neolepidoptera (infraorder), Heteroneura (parvorder), Ditrysia (clade), Obtectomera (clade), Noctuoidea (superfamily), Erebidae (family), Arctiinae (subfamily), Arctiini (tribe), Arctia (genus)	874455
A0A8S1CP89	unreviewed	A0A8S1CP89_9INSE	Abscisic acid G-protein coupled receptor-like domain-containing protein	CLODIP_2_CD14658	Cloeon dipterum	459		cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Panarthropoda (clade), Arthropoda (phylum), Mandibulata (clade), Pancrustacea (clade), Hexapoda (subphylum), Insecta (class), Dicondylia (clade), Pterygota (subclass), Palaeoptera (infraclass), Ephemeroptera (order), Pisciforma (suborder), Baetidae (family), Cloeon (genus)	197152
A0A8S1EEZ5	unreviewed	A0A8S1EEZ5_9PELO	Uncharacterized protein	CBOVIS_LOCUS3643	Caenorhabditis bovis	914		cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Nematoda (phylum), Chromadorea (class), Rhabditida (order), Rhabditina (suborder), Rhabditomorpha (infraorder), Rhabditoidea (superfamily), Rhabditidae (family), Peloderinae (subfamily), Caenorhabditis (genus)	2654633
A0A8S1EN57	unreviewed	A0A8S1EN57_9PELO	Uncharacterized protein	CBOVIS_LOCUS3643	Caenorhabditis bovis	912		cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Nematoda (phylum), Chromadorea (class), Rhabditida (order), Rhabditina (suborder), Rhabditomorpha (infraorder), Rhabditoidea (superfamily), Rhabditidae (family), Peloderinae (subfamily), Caenorhabditis (genus)	2654633
A0A8S1ESC8	unreviewed	A0A8S1ESC8_9PELO	Golgi pH regulator	CBOVIS_LOCUS5531	Caenorhabditis bovis	464		cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Nematoda (phylum), Chromadorea (class), Rhabditida (order), Rhabditina (suborder), Rhabditomorpha (infraorder), Rhabditoidea (superfamily), Rhabditidae (family), Peloderinae (subfamily), Caenorhabditis (genus)	2654633
A0A8S1GXS9	unreviewed	A0A8S1GXS9_9PELO	Uncharacterized protein	CAUJ_LOCUS3247	Caenorhabditis auriculariae	1041		cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Nematoda (phylum), Chromadorea (class), Rhabditida (order), Rhabditina (suborder), Rhabditomorpha (infraorder), Rhabditoidea (superfamily), Rhabditidae (family), Peloderinae (subfamily), Caenorhabditis (genus)	2777116
